indx,book_id,isbn13,authors,original_title,average_rating,ratings_count,image_url
31,930,9.78074E+12,Arthur Golden,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
33,865,9.78006E+12,"Paulo Coelho, Alan R. Clarke",O Alquimista,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
34,3636,9.78039E+12,Lois Lowry,The Giver,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
40,1934,9.78045E+12,Louisa May Alcott,Little Women,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,4214,9.78077E+12,Yann Martel,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,4381,9.78031E+12,Ray Bradbury,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg
51,11,9.78035E+12,Douglas Adams,The Hitchhiker's Guide to the Galaxy,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
52,5129,9.78006E+12,Aldous Huxley,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
55,2956,9.78014E+12,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
57,1618,9.7814E+12,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
59,6185,9.78039E+12,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
61,4981,9.78039E+12,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
73,5139,9.78031E+12,Lauren Weisberger,The Devil Wears Prada,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
74,1381,9.78014E+12,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
76,7445,9.78074E+12,Jeannette Walls,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
77,1953,9.78014E+12,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
78,7677,9.78031E+12,Michael Crichton,Jurassic Park,3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
81,1617,9.78037E+12,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
86,1202,9.78006E+12,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
87,2998,9.78052E+12,Frances Hodgson Burnett,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
88,320,9.78006E+12,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
89,5297,9.78038E+12,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
94,7244,9.78006E+12,Barbara Kingsolver,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
95,4137,9.78035E+12,David Sedaris,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
97,7126,9.78014E+12,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
98,6288,9.78031E+12,Cormac McCarthy,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
101,3473,9.78045E+12,Nicholas Sparks,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
102,9416,9.78044E+12,Sophie Kinsella,Confessions of a Shopaholic,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
107,6900,9.78075E+12,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
108,2187,9.78031E+12,Jeffrey Eugenides,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
111,7763,9.78014E+12,Amy Tan,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
117,1420,9.78052E+12,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",4,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
119,2612,9.78032E+12,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
122,2165,9.78068E+12,Ernest Hemingway,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
123,4395,9.78014E+12,John Steinbeck,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
124,3431,9.7814E+12,Mitch Albom,The Five People You Meet in Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
125,8127,9.78045E+12,L.M. Montgomery,Anne of Green Gables,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,5043,9.78045E+12,Ken Follett,The Pillars of the Earth,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
135,976,9.78067E+12,Dan Brown,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
138,2865,9.78045E+12,Tracy Chevalier,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
140,4989,9.78031E+12,Anita Diamant,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
142,5526,9.78045E+12,Nicholas Sparks,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
144,8852,9.78074E+12,William Shakespeare,The Tragedy of Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
148,6310,9.78014E+12,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
150,2623,9.78019E+12,Charles Dickens,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
157,4407,9.78075E+12,Neil Gaiman,American Gods,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
161,6969,9.78014E+12,"Jane Austen, Fiona Stafford",Emma,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg
167,7144,9.78014E+12,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg
168,6514,9.78006E+12,Sylvia Plath,The Bell Jar,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,33,9.78062E+12,J.R.R. Tolkien,The Lord of the Rings,4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
186,5759,9.78039E+12,Chuck Palahniuk,Fight Club,4.2,365349,https://images.gr-assets.com/books/1357128997m/5759.jpg
194,5326,9.78156E+12,Charles Dickens,A Christmas Carol,4.02,394540,https://images.gr-assets.com/books/1406512317m/5326.jpg
197,6853,9.78031E+12,Janet Evanovich,One for the Money,4.03,391007,https://images.gr-assets.com/books/1316730230m/6853.jpg
201,6867,9.78039E+12,Ian McEwan,Atonement,3.88,347006,https://images.gr-assets.com/books/1320449708m/6867.jpg
210,7869,9.78075E+12,Robert Ludlum,The Bourne Identity,3.98,327122,https://images.gr-assets.com/books/1335860740m/7869.jpg
212,4406,9.78014E+12,John Steinbeck,East of Eden,4.35,320919,https://images.gr-assets.com/books/1441547516m/4406.jpg
214,5359,9.78039E+12,John Grisham,The Client,3.97,320083,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
217,2156,9.78019E+12,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,4.13,365425,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
220,9712,9.7814E+12,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,3.89,283806,https://images.gr-assets.com/books/1327124987m/9712.jpg
223,1898,9.78039E+12,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,4.11,291258,https://images.gr-assets.com/books/1463384482m/1898.jpg
226,8908,9.78031E+12,Max Brooks,World War Z: An Oral History of the Zombie War,4.01,312969,https://images.gr-assets.com/books/1386328204m/8908.jpg
231,2839,9.78044E+12,Katherine Paterson,Bridge to Terabithia,3.98,337644,https://images.gr-assets.com/books/1327880087m/2839.jpg
234,1622,9.78074E+12,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,3.94,334241,https://images.gr-assets.com/books/1327874534m/1622.jpg
235,4588,9.78062E+12,Jonathan Safran Foer,Extremely Loud and Incredibly Close,3.97,294726,https://images.gr-assets.com/books/1327879967m/4588.jpg
241,662,9.78045E+12,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,3.68,283295,https://images.gr-assets.com/books/1405868167m/662.jpg
243,1232,9.78014E+12,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,4.24,263685,https://images.gr-assets.com/books/1344545047m/1232.jpg
245,4865,9.78067E+12,Dale Carnegie,How to Win Friends and Influence People,4.13,282623,https://images.gr-assets.com/books/1442726934m/4865.jpg
249,3876,9.78074E+12,Ernest Hemingway,The Sun Also Rises,3.83,284988,https://images.gr-assets.com/books/1331828228m/3876.jpg
253,6334,9.7814E+12,Kazuo Ishiguro,Never Let Me Go,3.8,294123,https://images.gr-assets.com/books/1353048590m/6334.jpg
257,6952,9.78055E+12,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,3.94,263199,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
258,1103,9.78081E+12,Lisa See,Snow Flower and the Secret Fan,4.05,280475,https://images.gr-assets.com/books/1327880508m/1103.jpg
271,2122,9.78045E+12,"Ayn Rand, Leonard Peikoff",The Fountainhead,3.85,244545,https://images.gr-assets.com/books/1491163636m/2122.jpg
277,295,9.78075E+12,Robert Louis Stevenson,Treasure Island,3.82,268012,https://images.gr-assets.com/books/1485248909m/295.jpg
280,4948,9.78024E+12,Eric Carle,The Very Hungry Caterpillar,4.29,296952,https://images.gr-assets.com/books/1327878225m/4948.jpg
282,2493,9.78045E+12,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,3.87,276076,https://images.gr-assets.com/books/1327942880m/2493.jpg
287,5203,9.78067E+12,Wally Lamb,She's Come Undone,3.84,259576,https://images.gr-assets.com/books/1408313457m/5203.jpg
292,3412,9.78038E+12,Colleen McCullough,The Thorn Birds,4.22,255651,https://images.gr-assets.com/books/1391416796m/3412.jpg
296,4894,9.78009E+12,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,3.74,237272,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
297,9791,9.78031E+12,Bill Bryson,A Walk in the Woods,4.05,250192,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
304,9717,9.78057E+12,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí,4.08,205279,https://images.gr-assets.com/books/1265401884m/9717.jpg
305,4473,9.78055E+12,John Irving,A Prayer for Owen Meany,4.22,226964,https://images.gr-assets.com/books/1260470010m/4473.jpg
315,6689,9.78038E+12,"Roald Dahl, Quentin Blake",James and the Giant Peach,3.99,270402,https://images.gr-assets.com/books/1320412586m/6689.jpg
317,13,9.78035E+12,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,4.37,222842,https://images.gr-assets.com/books/1404613595m/13.jpg
320,1371,9.78014E+12,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς,3.83,241088,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
328,7745,9.78068E+12,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,4.08,232489,https://images.gr-assets.com/books/1394204569m/7745.jpg
332,6149,9.7814E+12,Toni Morrison,Beloved,3.77,233825,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
338,7082,9.78035E+12,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,4.08,223828,https://images.gr-assets.com/books/1435458683m/7082.jpg
342,5805,9.7814E+12,"Alan Moore, David   Lloyd",V for Vendetta,4.25,210682,https://images.gr-assets.com/books/1343668985m/5805.jpg
343,2203,9.78074E+12,David McCullough,John Adams,4.05,215780,https://images.gr-assets.com/books/1478144278m/2203.jpg
348,350,9.78044E+12,Robert A. Heinlein,Stranger in a Strange Land,3.91,220301,https://images.gr-assets.com/books/1156897088m/350.jpg
350,6319,9.78014E+12,"Roald Dahl, Quentin Blake",The BFG,4.22,245855,https://images.gr-assets.com/books/1327872673m/6319.jpg
351,21,9.78077E+12,Bill Bryson,A Short History of Nearly Everything,4.19,191535,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
352,1852,9.78044E+12,Jack London,The Call of the Wild,3.83,223932,https://images.gr-assets.com/books/1452291694m/1852.jpg
358,5168,9.78045E+12,Billie Letts,Where the Heart Is,4,208333,https://images.gr-assets.com/books/1327959469m/5168.jpg
360,1241,9.78031E+12,James Frey,A Million Little Pieces,3.62,184241,https://images.gr-assets.com/books/1483206985m/1241.jpg
365,50,9.78069E+12,Gary Paulsen,Hatchet,3.68,222553,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
368,7784,9.78068E+12,Dr. Seuss,The Lorax,4.35,226564,https://images.gr-assets.com/books/1327879938m/7784.jpg
374,343,9.78014E+12,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders,4,178135,https://images.gr-assets.com/books/1409112276m/343.jpg
375,1097,9.78006E+12,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal,3.73,179347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
381,4980,9.78039E+12,Kurt Vonnegut Jr.,Breakfast of Champions,4.08,178154,https://images.gr-assets.com/books/1327934446m/4980.jpg
383,5826,9.78006E+12,Ann Patchett,Bel Canto,3.92,192330,https://images.gr-assets.com/books/1352997328m/5826.jpg
384,1842,9.78074E+12,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",4,171558,https://images.gr-assets.com/books/1453215833m/1842.jpg
385,9375,9.78038E+12,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,4.26,207508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
392,6327,9.78059E+12,"Roald Dahl, Quentin Blake",The Witches,4.17,221431,https://images.gr-assets.com/books/1351707720m/6327.jpg
396,3478,9.78045E+12,Nicholas Sparks,Message in a Bottle,3.95,185116,https://images.gr-assets.com/books/1163789140m/3478.jpg
406,4929,9.7814E+12,"Haruki Murakami, Philip Gabriel",海辺のカフカ [Umibe no Kafuka],4.13,167593,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
412,9777,9.78068E+12,Arundhati Roy,The God of Small Things,3.91,165378,https://images.gr-assets.com/books/1436217001m/9777.jpg
415,3869,9.78055E+12,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time: From the Big Bang to Black Holes,4.12,165628,https://images.gr-assets.com/books/1333578746m/3869.jpg
418,830,9.78055E+12,Neal Stephenson,Snow Crash,4.02,175883,https://images.gr-assets.com/books/1477624625m/830.jpg
437,1078,9.78142E+12,Pearl S. Buck,The Good Earth,3.97,182220,https://images.gr-assets.com/books/1312497600m/1078.jpg
438,2784,9.78014E+12,John Berger,Ways of Seeing,3.75,155658,https://images.gr-assets.com/books/1464018308m/2784.jpg
439,5364,9.78039E+12,Diana Gabaldon,Dragonfly in Amber,4.31,178110,https://images.gr-assets.com/books/1456114344m/5364.jpg
447,4069,9.78081E+12,Viktor E. Frankl,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,4.33,171281,https://images.gr-assets.com/books/1467136625m/4069.jpg
451,7069,9.78035E+12,John Irving,The World According to Garp,4.07,167106,https://images.gr-assets.com/books/1447234581m/7069.jpg
453,2932,9.78038E+12,"Daniel Defoe, Gerald McCann, Virginia Woolf","The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",3.66,178188,https://images.gr-assets.com/books/1403180114m/2932.jpg
458,5113,9.78032E+12,J.D. Salinger,Franny and Zooey,3.98,152906,https://images.gr-assets.com/books/1355037988m/5113.jpg
460,4934,9.78037E+12,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы,4.3,155838,https://images.gr-assets.com/books/1427728126m/4934.jpg
462,7670,9.78006E+12,Michael Crichton,The Andromeda Strain,3.87,173186,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
464,2547,9.78E+12,Kahlil Gibran,The Prophet,4.22,142641,https://images.gr-assets.com/books/1355046521m/2547.jpg
467,7967,9.78081E+12,Orson Scott Card,Speaker for the Dead,4.04,164287,https://images.gr-assets.com/books/1295660894m/7967.jpg
470,4953,9.78038E+12,Dave Eggers,A Heartbreaking Work of Staggering Genius,3.68,145459,https://images.gr-assets.com/books/1327714834m/4953.jpg
471,1295,9.78055E+12,Jean M. Auel,The Clan of the Cave Bear,4.02,176062,https://images.gr-assets.com/books/1385331302m/1295.jpg
472,3685,9.78044E+12,Anna Sewell,Black Beauty,3.94,183255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
473,656,9.78019E+12,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ,4.11,168037,https://images.gr-assets.com/books/1413215930m/656.jpg
476,7061,9.7814E+12,Alexander McCall Smith,The No. 1 Ladies' Detective Agency,3.75,180320,https://images.gr-assets.com/books/1459953654m/7061.jpg
482,1869,9.78081E+12,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,3.6,152786,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
485,6534,9.78074E+12,Patricia Cornwell,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,4.01,167379,https://images.gr-assets.com/books/1341835831m/6534.jpg
488,3590,9.78019E+12,Arthur Conan Doyle,The Adventures of Sherlock Holmes,4.29,139816,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
490,3985,9.78031E+12,Michael Chabon,The Amazing Adventures of Kavalier & Clay,4.17,147717,https://images.gr-assets.com/books/1479660066m/3985.jpg
503,7733,9.78014E+12,"Jonathan Swift, Robert DeMaria Jr.",Gulliver’s Travels,3.55,168727,https://images.gr-assets.com/books/1427829692m/7733.jpg
514,3008,9.78014E+12,"Frances Hodgson Burnett, Nancy Bond",A Little Princess,4.2,199872,https://images.gr-assets.com/books/1327868556m/3008.jpg
520,629,9.78006E+12,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance,3.76,139411,https://images.gr-assets.com/books/1410136019m/629.jpg
521,8909,9.78038E+12,"H.G. Wells, Arthur C. Clarke",The War of the Worlds,3.8,159752,https://images.gr-assets.com/books/1320391644m/8909.jpg
524,3109,9.78159E+12,Michael Pollan,The Omnivore's Dilemma,4.17,133271,https://images.gr-assets.com/books/1393804353m/3109.jpg
526,3462,9.78045E+12,Nicholas Sparks,The Rescue,4.1,142092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
533,2175,9.78019E+12,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary,3.64,158877,https://images.gr-assets.com/books/1335676143m/2175.jpg
534,378,9.78039E+12,"Norton Juster, Jules Feiffer",The Phantom Tollbooth,4.22,178432,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
544,1274,9.78006E+12,John Gray,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",3.52,113915,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
546,7669,9.7801E+12,Michael Crichton,Timeline,3.83,148563,https://images.gr-assets.com/books/1405420745m/7669.jpg
556,3682,9.78069E+12,Libba Bray,A Great and Terrible Beauty,3.79,173613,https://images.gr-assets.com/books/1284558475m/3682.jpg
565,5148,9.78074E+12,John Knowles,A Separate Peace,3.56,155901,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
566,5349,9.78039E+12,John Grisham,The Rainmaker,3.91,137412,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
567,3836,9.78014E+12,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quijote de La Mancha,3.85,134931,https://images.gr-assets.com/books/1364958765m/3836.jpg
569,8695,9.78035E+12,Douglas Adams,The Restaurant at the End of the Universe,4.22,153838,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
581,7332,9.78062E+12,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion,3.87,134106,https://images.gr-assets.com/books/1336502583m/7332.jpg
582,5094,9.78045E+12,Stephen King,The Drawing of the Three,4.23,139052,https://images.gr-assets.com/books/1370918050m/5094.jpg
588,8921,9.78045E+12,"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles,4.09,154517,https://images.gr-assets.com/books/1355929358m/8921.jpg
595,5166,9.78038E+12,Chris Bohjalian,Midwives,3.97,133155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
599,1431,9.78006E+12,"Paulo Coelho, Margaret Jull Costa",Veronika decide morrer,3.69,111856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
608,93,9.78075E+12,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Heidi,3.97,144497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
611,5064,9.78053E+12,Ken Follett,World Without End,4.23,128715,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
615,2696,9.78014E+12,"Geoffrey Chaucer, Nevill Coghill",Tales of Caunterbury,3.48,148480,https://images.gr-assets.com/books/1261208589m/2696.jpg
622,2526,9.78016E+12,"José Saramago, Giovanni Pontiero",Ensaio Sobre a Cegueira,4.08,98738,https://images.gr-assets.com/books/1327866409m/2526.jpg
627,3805,9.78184E+12,Jonathan Franzen,The Corrections,3.78,117657,https://images.gr-assets.com/books/1355011305m/3805.jpg
629,7672,9.78006E+12,Michael Crichton,Congo,3.55,129811,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
631,5439,9.78062E+12,Jhumpa Lahiri,Interpreter of Maladies,4.12,110651,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
632,2767,9.78006E+12,Howard Zinn,A People's History of the United States: 1492 to Present,4.07,137372,https://images.gr-assets.com/books/1494279423m/2767.jpg
635,2744,9.78006E+12,Neil Gaiman,Anansi Boys,4,137639,https://images.gr-assets.com/books/1479778049m/2744.jpg
638,9328,9.78055E+12,"Isabel Allende, Magda Bogin",La casa de los espíritus,4.2,119930,https://images.gr-assets.com/books/1358615501m/9328.jpg
643,7494,9.78045E+12,James Patterson,Suzanne's Diary for Nicholas,4.16,121398,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
649,1005,9.78159E+12,Napoleon Hill,Think and Grow Rich,4.17,87445,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
650,8337,9.78006E+12,"Laura Ingalls Wilder, Garth Williams",Little House In The Big Woods,4.16,165127,https://images.gr-assets.com/books/1475195170m/8337.jpg
